"","job_title","Less_than_1_year","Four_Plus_years","Five_to_Nine_years","Ten_to_Nineteen_years","Twenty_plus_years"
"1778","Digital Project Manager",50844.4,61372.58,72990.92,82176.65,87333.19
"1779","Associate Director, Creative Services",61041.89,77605.73,93283.53,102503.25,105922.31
"1780","Associate Marketing Manager",57449.17,64302.17,74337.95,80400.82,72000
"1781","Brand Strategist",48625.27,60621.46,77914.74,98237.8,98263.52
"1782","Director of Digital Marketing",67441.02,100244.24,119713.06,124573.05,NA
"1783","Marketing & Business Development Manager",49170.21,55194.26,68980,79423.2,84900.8
"1784","Brand Marketing Manager",45678.54,66338.28,79419.33,86971.35,81349.69
"1785","Pricing Manager",68484.15,78584.92,88829.29,96359.07,87764.31
"1786","Product Manager, eCommerce",59209.74,85984.83,100814.53,101390.04,99750
"1787","Product Marketing Director",112880.95,140109.89,149624.45,153667.69,NA
"1788","Digital Marketing Director",66789.66,91032.67,115337.12,120164.35,NA
"1789","Senior Business Development Manager",83401.9,98393.9,113505.82,124694.52,NA
"1790","Product Line Manager",77728.76,79722.67,96413.31,110723.7,121295.16
"1791","Media Director",46831.67,91051,106053.11,91535.31,NA
"1792","Associate Brand Manager",59167.99,71392.34,80524.16,78242.86,78613.78
"1793","Director, Marketing & Business Development",55955.06,67972.33,89927.35,107952.86,109063.77
"1794","Director of Marketing",59590.21,85822.2,105350.55,119047.64,NA
"1795","Search Engine Optimization (SEO) Manager",49434.82,62446.68,79736.75,86081.45,77884.62
"1796","Product Manager, Financial Services",75008.03,89414.42,103062.3,116308.13,116996.95
"1797","Senior Marketing Coordinator",55179.85,63097.97,66908.75,66860.92,NA
"1798","Director of Innovation",78751.7,90057.42,111684.48,132392.12,139394.7
"1799","Assistant Marketing Manager",48240.26,56920.63,59469.46,58417.99,56030.5
"1800","Online Community Manager",45707.3,54448.82,65494.89,76841.48,79621.05
"1801","Corporate Communications Manager",52380.95,70441.37,83200.55,96021.05,98799.68
"1802","Graphic Design Manager",47101.57,62002.93,64956.55,66519.95,NA
"1803","Demand Generation Manager",77891.98,87596.16,95350.95,107350.64,NA
"1804","Media Manager",42159.15,62396.5,71931.76,80517.48,88223.15
"1805","Senior Brand Manager",80227.14,101930.06,113446.29,114568.75,NA
"1806","Channel Marketing Manager",63615.14,73823.24,84538.72,95383.42,106999.81
"1807","Media Planner",44984.14,51713.14,56374.81,73000,56100
"1808","Marketing Automation Manager",57194.14,74094.65,82959,89956.96,127450.98
"1809","Media Buyer",41409.65,47495.98,51881.86,56935.66,63871.29
"1810","Traffic Manager",39907.79,44023.02,55516.31,59780.07,61283.91
"1811","Marketing Executive",45447.19,49734.61,61035.31,82630.65,98869.63
"1812","Global Product Manager",93140.33,100668.27,122576.64,127086.45,NA
"1813","Regional Marketing Manager",56000,64947.49,79954.13,84611.95,97412.26
"1814","Senior Communications Manager",72644.46,96428.75,110200.47,124340.14,NA
"1815","Demand Generation Director",99493.44,129415.51,135260,146586.2,NA
"1816","Senior Product Management Director",134912.16,155163.27,168962,171581.01,NA
"1817","Media Production Manager",54518.24,62041.81,70403.7,75000,NA
"1818","Sales and Business Development Director",75400.5,91691.2,117814.06,119434.42,NA
"1819","Global Marketing Manager",78817.83,92951.46,111556.61,126756.24,NA
"1820","Content Director",65968.19,86180.53,99823.21,118099.95,NA
"1821","E-Mail Marketing Manager",66553.83,76255.98,77794.94,NA,NA
"1822","Assistant Product Manager",57601.7,55086.54,62504.51,84575.08,61500
"1823","Associate Media Director",93318.49,96345.19,96687.13,85329.38,NA
"1824","Marketing & Business Development Director",57828.77,81222.36,100851.98,110933.22,NA
"1825","Business Development Officer",49604.15,57145.44,69495.93,78055.11,75965.47
"1826","Group Product Manager",134319.72,151350.9,173434.41,138449.11,NA
"1827","Senior Project Manager, Advertising",74686.77,81982.08,88052.15,87395.44,NA
"1828","Director of Strategic Alliances",81450.9,107050.31,130240.69,150608.85,NA
"1829","Assistant Brand Manager",58832.69,62260.46,80428.31,73000,NA
"1830","Marketing Supervisor",56390.86,59788.88,61811.51,69848.55,NA
"1831","Digital Strategy Director",93459.98,95317.8,115881.63,144874.3,NA
"1832","Online Marketing Manager",40694.59,58643.59,71170.28,79341.42,60652.39
"1833","Strategic Planner",50615.23,59245.43,74874.24,99754.23,114522.94
"1834","Search Engine Marketing (SEM) Manager",51545.68,65261.7,80291.13,85896.02,NA
"1835","Vice President (VP), Marketing & Business Development",70521.3,104360.58,145573.96,149497.3,NA
"1836","Product Manager, Banking",67670.4,79028.44,95504.61,103267.5,129715.57
"1837","Senior Account Director",70000,102179.98,123444.9,137529.41,NA
"1838","Marketing Administrator",41187.39,43357.63,49077.85,57474.15,60000
"1839","Group Account Director",106488.18,125363.34,142708.89,151450.35,NA
"1840","Advertising Manager",48538.56,55366.95,69862.17,85410.99,89904.13
"1841","Advertising Coordinator",40646.73,44588.66,46828.44,52457.14,47500
"1842","Commercial Director",81349.69,131973.08,138870.8,136723.59,NA
"1843","Director, Consumer Insights",97500,119167.88,139344.96,152052.38,NA
"1844","Marketing Research Director",75986.84,97635.23,119290.43,128463.08,NA
"1845","Manager of Paid Search",67104.9,79823.72,89693.59,NA,NA
"1846","Creative Manager, Advertising",61828.15,68804.33,70062.15,63514.52,NA
"1847","Marketing Associate",44156.93,48760.39,56169.52,55925.36,57534.62
"1848","Technical Writer",49950.31,57080.37,66008.37,72640.17,75235.21
"1849","Communications Specialist",42385.85,51208.66,58893.72,61433.54,65072.97
"1850","Director of Communications",49356.13,58757.17,78392.71,97603.59,104371.81
"1851","Video Producer",41807.07,51469.03,60746.63,68577.06,65900.24
"1852","Film / Video Editor",40257.35,44992.13,51799.04,60014.03,62464.7
"1853","Copywriter",41769.95,51071.09,60940.78,60740.34,57675.1
"1854","Relationship Manager",48511.13,55062.64,65861.38,83591.8,93038.75
"1855","Editor",40883.59,48973.04,56972.64,61635.46,66836.26
"1856","Content Writer",38932.8,45844.37,56432.1,59812.08,61476.91
"1857","Technical Director",48479,59053.34,85711.6,130576.92,139632.06
"1858","Photographer",13.48,15.53,19.3,20.51,22.8
"1859","Public Relations (PR) Manager",41105.91,58711.96,75384.15,80541.99,76472.16
"1860","Communications Director",48898.36,52259.6,69213.47,88097.71,96795.3
"1861","Senior Technical Writer",73294.79,80044.77,87076.49,92136.88,NA
"1862","Videographer",39574.75,42560.12,48549.03,55628.39,61147.29
"1863","Digital Media Specialist",42644.23,47511.08,53533.04,57603.42,58480.97
"1864","Senior Copywriter",57429.81,70266.17,76500.7,79249.62,84887.05
"1865","Audio/Visual Technician",15.06,17.54,20.81,22.97,24.98
"1866","News Producer",32264.3,40150.79,56395.06,71281.68,74000
"1867","Reporter",34635.87,42081.17,56006.07,62519.5,58413.48
"1868","Production Assistant",14.45,15.2,16.62,16.07,17.18
"1869","Managing Editor",48433.29,51272.82,62056.92,75070.77,77385.83
"1870","Sr. Editor",59670.3,70241.91,75154.38,77698.57,NA
"1871","Campaign Manager",44189.4,57368.06,70893.81,79641.17,80884.45
"1872","Audio Engineer",19.52,18.56,23.45,25.58,29.66
"1873","Communications Associate",42083.62,49422.69,53454.81,57229.19,48494.85
"1874","Public Relations (PR) Specialist",40978.88,48764.78,59149.17,59958.1,64944.05
"1875","Web Content Specialist",40816.12,46683.94,51809.99,61130.07,65043.01
"1876","Social Media Director",44924.67,54624.92,83894.92,102298.8,125500
"1877","Proposal Writer",48900.25,55633.35,65802.25,73359.83,78770.21
"1878","Music Director",38944.92,35447.1,41369.73,43278.16,40518.22
"1879","Social Media Strategist",39574.65,51015.18,63978.1,77023.07,67500
"1880","Senior Communications Specialist",65287.83,71266.05,78119.35,80599.39,NA
"1881","Marketing Communications Director",47324.18,52926.22,75976.02,90833.65,102345.88
"1882","News Anchor",35796.14,48283.02,60803.8,71275.21,86204.23
"1883","Writer",41509.34,49234.62,57855.36,66445.24,68437.78
"1884","Major Gifts Officer",55895.43,65429.19,73610.47,78423.44,81154.43
"1885","Executive Producer",49131.76,62791.3,86989.17,112505.86,125013.99
"1886","Medical Writer",70959.75,73751.1,78722.09,100264.91,85243.4
"1887","Sign Language Interpreter",24.13,25.09,30.33,33.73,39.14
"1888","Interpreter",16.49,18.4,20.09,23.96,28.97
"1889","Medical Interpreter",18.09,19.27,23.08,24.41,25.63
"1890","Associate Editor",40149.74,47301.18,51207.22,56320.57,58208.32
"1891","Development Officer",43067.47,50645.64,60314.06,65638.54,69338.7
"1892","Public Relations (PR) Director",51259.24,86011.7,101941.47,103952.73,NA
"1893","Development Coordinator, Non-profit Organization",39499.33,41175.38,46570.3,48309.2,48961.38
"1894","Associate Producer, Film/TV",41117.6,51403.29,58714.34,73436.31,52500
"1895","Web Content Manager",41156.69,53491.28,63296.3,63740.98,71591.75
"1896","Public Relations Coordinator",38674.52,43364.62,50069.58,54936.59,50881.17
"1897","News Reporter",29831.88,40132.01,53559.37,64782.02,81389.19
"1898","Journalist",31229.23,40197.06,48070.36,60493.29,59394.18
"1899","Data Science Manager",129171.68,141019.58,150750.75,139821.43,NA
"1900","Film/TV Producer",50683.71,58645.92,71427.76,86519.26,114842.37
"1901","Senior Marketing Associate",62415.67,68272.8,70087.82,67500,NA
"1902","Lighting Designer",51745.46,57750.64,59042.64,68784.46,73784.39
"1903","Athletic Coach",35661.75,39438.7,44326.2,49671.64,53929.67
"1904","Translator",19.13,19.3,19.98,25.09,26.49
"1905","Web Content Editor",36768.25,46233.22,53265.67,64980.42,67480.71
"1906","Musician or Singer",19.29,43.98,48.73,46.65,48.65
"1907","Stripper/Exotic Dancer",19.83,20.47,25.89,20.83,25
"1908","Editorial Assistant",35785.55,36757.61,41320.87,57344,62255.87
"1909","Media Specialist",40412.45,44724.48,50135.93,53100.67,60000
"1910","Donor Relations Manager",41815.45,48723.51,58055.8,63475.6,70411.35
"1911","Annual Giving Manager",45751.99,52518.54,57765.08,66786.76,69673.44
"1912","Communications Technician",15.74,17.51,24.63,26.8,30.49
"1913","Director of Community Engagement",60000,58708.97,66339.2,71722.5,83523.99
"1914","Photographer, Commercial",35171.33,41159.37,49105.16,60767.17,63542.01
"1915","Fundraising Manager",53575.23,56238.84,59809.04,57434.61,NA
"1916","Radio Show Host",38000,38755.34,44233.29,51109.69,56336.27
"1917","Community Relations Specialist",40501.85,49872.12,57082.93,59549.78,59159.66
"1918","Technical Editor",41901.53,50878.55,63797.63,73894.6,75595.81
"1919","Senior Video Editor",55832.17,61732.73,69420.72,83989.79,NA
"1920","Communications Assistant",37560.23,40402.59,41034.33,50000,66000
"1921","Freelance Writer",15.58,20.19,25.28,30.04,49.13
"1922","Public Relations (PR) Associate",41044.32,45924.33,61096.62,64000,NA
"1923","Broadcast Engineer",51204.25,53560.94,59495.24,65531.7,77637.23
"1924","Creative Services Director",70633.57,81394.66,92435.84,100989.44,NA
"1925","Interpreter or Translator",19.73,20.23,21.94,27.67,28.09
"1926","Photo Editor",40000,45772.44,59479.28,66973.26,60834.84
"1927","Director of Public Relations (PR)",61426.35,77967.4,93594.07,110310.44,NA
"1928","Senior Writer",57708.7,71136.84,76111.34,83323.62,NA
"1929","Sr. Manager, Corporate Communications",94929.46,102156.89,114696.54,108053.28,NA
"1930","Account Executive, Public Relations (PR)",41322.39,49398.53,53875.11,61828.95,90000
"1931","Church Organist",17190.34,17610.3,19773.93,19336.25,NA
"1932","Corporate Communications Director",87893.14,102601.46,132391.68,138812.76,NA
"1933","Staff Writer",35698.56,45302.94,50567.14,49151.43,64000
"1934","Junior Copywriter",43203.41,44706.47,52514.8,NA,NA
"1935","Vendor Relationship Manager",54343.83,59353.03,72199.35,86680.82,103662.48
"1936","Radio Producer",35602.71,44324.74,50454.75,53000,52071.91
"1937","Master Control Operator",11.98,12.98,15.76,17.04,20.84
"1938","Editorial Director",66128.8,89119.62,100961.81,101340.17,NA
"1939","Public Relations (PR) and Marketing Coordinator",36380.85,41518.12,47899.53,50615.23,45000
"1940","Online Marketing Content Writer",39305.93,43960.82,52782.49,60983.61,75394.36
"1941","Actor / Actress",49178.35,49468.98,52619.81,72000,50000
"1942","Information Specialist",40691.93,45453.89,50867.99,51985.23,60934.43
"1943","Marketing Copywriter",43746.33,47926.03,53797.58,54044.94,62000
"1944","Social Media Associate",39937.34,46029.76,63871.29,NA,NA
"1945","Music Producer",49566.52,49862.44,54495.41,58326.38,57325.12
"1946","Corporate Communications Specialist",47820.08,55358.93,60448.22,67563.44,67500
"1947","Drone Pilot",20.39,22.4,27.23,35.75,NA
"1948","Radio Tower & Radar Technician",18.77,20.52,23.74,27.05,25.96
"1949","Military Pilot, Jet",68444.47,85892.69,99380.5,117109.79,NA
"1950","Army Sergeant, Infantry",32553.54,37765.81,50868.24,66466.17,NA
"1951","Marine Corp Corporal, Ground Combat",28265.43,26000,50118,NA,NA
"1952","Army Staff Sergeant, Infantry (Light Infantry)",54013.14,50615.23,NA,NA,NA
"1953","Navy Petty Officer 2nd Class, Surface Vessels",31778.48,49166.38,49948.31,NA,NA
"1954","Army Private First Class, Infantry (Light Infantry)",23781.85,NA,NA,NA,NA
"1955","Unmanned Aerial Vehicle (UAV) Pilot",50868.24,76302.36,1e+05,NA,NA
"1956","Officer in Command",NA,72262.47,102927.79,145005.77,NA
"1957","Army Corporal, Infantry",27310.91,42000,NA,NA,NA
"1958","Chief Helicopter Pilot",68784.46,89000,95000,NA,NA
"1959","Military Pilot, Non-Jet",52380.95,78446.89,90989.01,102439.02,117916.22
"1960","Drone Operator",45494.51,67249.17,NA,NA,NA
"1961","Military Pilot (Unspecified Type)",65000,82121.84,90000,90000,NA
"1962","Navy Petty Officer 1st Class, Surface Vessels",50000,69634.27,67407.41,NA,NA
"1963","Air Force Senior Airman, Air",37854.25,29698.75,NA,NA,NA
"1964","Navy Petty Officer 3rd Class, Aviation",26129.76,29422.72,NA,NA,NA
"1965","Army Staff Sergeant, Infantry",46000,54349.75,NA,NA,NA
"1966","Air Force Staff Sergeant, Air",45774.8,53453.17,NA,NA,NA
"1967","Army Sergeant, Cavalry",41730.66,47500,44000,NA,NA
"1968","Marine Corp Lance Corporal, Ground Combat",23178.65,45000,NA,NA,NA
"1969","Army Captain, Infantry",72153.95,82316,NA,NA,NA
"1970","Army Private First Class, Infantry (Mechanized)",23958.33,NA,NA,NA,NA
"1971","Navy Petty Officer 3rd Class, Surface Vessels",25610,29859.53,NA,NA,NA
"1972","Army Sergeant, Airborne",38500,40444.44,37619.11,NA,NA
"1973","Army Sergeant First Class, Infantry",61673.62,59628.06,NA,NA,NA
"1974","Navy Petty Officer 2nd Class, Aviation",51923.08,50000,58958.11,NA,NA
"1975","Air Force Lieutenant Colonel, Air",120340.79,105450,NA,NA,NA
"1976","Army Corporal, Infantry (Light Infantry)",28540.8,44218.58,NA,NA,NA
"1977","Coast Guard Captain, Small Boats",27,19.65,20,NA,NA
"1978","Marine Corp Staff Sergeant, Ground Combat",57000,66148.5,NA,NA,NA
"1979","Navy Chief Petty Officer, Surface Vessels",76500,63615.14,NA,NA,NA
"1980","Soldier",29277.45,35000,50000,NA,NA
"1981","Air Force Captain, Air",95273.24,NA,NA,NA,NA
"1982","Army Sergeant First Class, Airborne",69500,57000,NA,NA,NA
"1983","Navy Seaman, Surface Vessels",22002.24,NA,NA,NA,NA
"1984","Air Force Master Sergeant, Air",57297.2,83200,NA,NA,NA
"1985","Air Force Major, Air",111000,NA,NA,NA,NA
"1986","Air Force Staff Sergeant, Aerospace",34000,NA,NA,NA,NA
"1987","Army 2nd Lieutenant, Infantry",40000,NA,NA,NA,NA
"1988","Army Corporal, Infantry (Mechanized)",28500,29221.08,NA,NA,NA
"1989","Marine Corp Corporal, Logistics Combat",25703.28,NA,NA,NA,NA
"1990","Unmanned Aircraft Systems (UAS) Pilot",20.49,NA,NA,NA,NA
"1991","Air Force Airman 1st Class, Air",24370.54,NA,NA,NA,NA
"1992","Coast Guard Petty Officer 2nd Class, Small Boats",35250,NA,NA,NA,NA
"1993","Navy Petty Officer 2nd Class, Submarines",50868.24,NA,NA,NA,NA
"1994","Air Force Colonel, Air",133131.06,NA,NA,NA,NA
"1995","Air Force Technical Sergeant, Air",52380.95,NA,NA,NA,NA
"1996","Army 1st Sergeant, Airborne",89321.51,NA,NA,NA,NA
"1997","Army Staff Sergeant, Airborne",46500,NA,NA,NA,NA
"1998","Navy Petty Officer 1st Class, Aviation",57000,NA,NA,NA,NA
"1999","Navy Petty Officer 1st Class, Submarines",58554.89,NA,NA,NA,NA
"2000","Unmanned Aerial Vehicle (UAV) Operator",51414.69,NA,NA,NA,NA
"2001","Air Force Senior Airman, Aerospace",27834,NA,NA,NA,NA
"2002","Army Major, Infantry",NA,NA,NA,NA,NA
"2003","Coast Guard Petty Officer 3rd Class, Small Boats",NA,NA,NA,NA,NA
"2004","Navy Chief Petty Officer, Aviation",NA,NA,NA,NA,NA
"2005","Navy Commander, Aviation",120009,NA,NA,NA,NA
"2006","Unmanned Aircraft Systems (UAS) Operator",NA,NA,NA,NA,NA
"2007","Air Force Airman Basic, Air",33000,NA,NA,NA,NA
"2008","Air Force Chief Master Sergeant, Air",NA,NA,NA,NA,NA
"2009","Army Corporal, Armor",28673.56,NA,NA,NA,NA
"2010","Army Private First Class, Armor",18000,NA,NA,NA,NA
"2011","Army Private First Class, Infantry",29500,NA,NA,NA,NA
"2012","Army Sergeant First Class, Cavalry",74328.57,NA,NA,NA,NA
"2013","Army Sergeant Major, Infantry",73547.8,NA,NA,NA,NA
"2014","Army Staff Sergeant, Armor",NA,NA,NA,NA,NA
"2015","Coast Guard Seaman/Airman/Fireman, Aviation",19950,NA,NA,NA,NA
"2016","Navy Lieutenant Commander, Surface Vessels",NA,NA,NA,NA,NA
"2017","Navy Lieutenant, Surface Vessels",NA,NA,NA,NA,NA
"2018","Navy Petty Officer 3rd Class, Submarines",35000,NA,NA,NA,NA
"2019","Navy Seaman, Aviation",44000,NA,NA,NA,NA
"2020","Enforcement Manager",NA,NA,NA,NA,NA
"2021","Career Manager",NA,NA,NA,NA,NA
"2022","Mental Nurse",NA,NA,NA,NA,NA
"2023","Nurse Intern",NA,NA,NA,NA,NA
"2024","Dispensary Nurse",NA,NA,NA,NA,NA
"2025","Med Nurse",NA,NA,NA,NA,NA
"2026","Manager Associate",NA,NA,NA,NA,NA
"2027","Primary Nurse",NA,NA,NA,NA,NA
"2028","Master of Nursing",NA,NA,NA,NA,NA
"2029","Camp Nurse",NA,NA,NA,NA,NA
"2030","Certified Wound Nurse",NA,NA,NA,NA,NA
"2031","Parish Nurse",NA,NA,NA,NA,NA
"2032","Bed Manager",NA,NA,NA,NA,NA
"2033","Export Assistant",NA,NA,NA,NA,NA
"2034","Operation Excellence Manager",NA,NA,NA,NA,NA
"2035","Rigging Manager",NA,NA,NA,NA,NA
"2036","Research Site Manager",NA,NA,NA,NA,NA
"2037","Faculty Manager",NA,NA,NA,NA,NA
"2038","Junior Nurse",NA,NA,NA,NA,NA
"2039","Floater Administrative Assistant",NA,NA,NA,NA,NA
"2040","Rn Analyst",NA,NA,NA,NA,NA
"2041","Rooms Manager",NA,NA,NA,NA,NA
"2042","Works Manager",NA,NA,NA,NA,NA
"2043","IPT Engineer",NA,NA,NA,NA,NA
"2044","Night Nurse",NA,NA,NA,NA,NA
"2045","Spa Assistant",NA,NA,NA,NA,NA
"2046","QA Administrative Assistant",NA,NA,NA,NA,NA
"2047","Complaints Manager",NA,NA,NA,NA,NA
"2048","Data Base Engineer",NA,NA,NA,NA,NA
"2049","Autopsy Assistant",NA,NA,NA,NA,NA
"2050","Software Executive",NA,NA,NA,NA,NA
"2051","Nurse Mentor",NA,NA,NA,NA,NA
"2052","Nurse II",NA,NA,NA,NA,NA
"2053","Software Packager",NA,NA,NA,NA,NA
"2054","Truck Stop Manager",NA,NA,NA,NA,NA
"2055","Radiology Administrator",NA,NA,NA,NA,NA
"2056","Physician Manager",NA,NA,NA,NA,NA
"2057","State Registered Nurse",NA,NA,NA,NA,NA
"2058","Senior Business Assistant",NA,NA,NA,NA,NA
"2059","Occupational Health Registered Nurse",NA,NA,NA,NA,NA
"2060","Assistant Administrative Officer",NA,NA,NA,NA,NA
"2061","Substitute School Nurse",NA,NA,NA,NA,NA
"2062","Medical Nurse",NA,NA,NA,NA,NA
"2063","Airworthiness Engineer",NA,NA,NA,NA,NA
"2064","Outpatient Nurse",NA,NA,NA,NA,NA
